id_ligne;sens;societe;raison_sociale;campagne_appro;date_operation;nom_mois_date_operation;annee_date_operation;code_site;bon_origine;code_type_document;numero_bon;code_type_ligne;responsable_region;technicien;code_tiers;tiers_facture;code_famille;famille_2;famille_3;code_produit;libelle_produit;dose_hectare;pourcentage_azote;quantite;reste_a_livrer;unite;prix_net;montant_ht;facture;created_at;updated_at;data_hash
1443067;V;1000001;INTERVAL;2025-2026;05/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056721;1;ROBITAILLE ERIC;LEPAGE Julien;5554;GAEC DE LOZAIN;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.0600;0.0000;Tonne;1372.000000;82.32;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;8be04bf3c991323a9f5b134bb20f318a
1442892;V;1000001;INTERVAL;2025-2026;02/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056653;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.2190;0.0000;Tonne;1372.000000;300.47;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;cc9745ea33a54bc31a4c6f9e808e078e
1444140;V;1000001;INTERVAL;2025-2026;06/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057113;1;ROBITAILLE ERIC;LEPAGE Julien;45945;GAEC RECONNU DU MESELOT;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;28000005;REGUL PH INC;0.000000;0.0000;0.3460;0.0000;Tonne;975.000000;337.35;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;bd68c0370f55bb6e6eeabe206e049f7d
1442918;V;1000001;INTERVAL;2025-2026;02/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056664;1;ROBITAILLE ERIC;LEPAGE Julien;17313;GAEC BERTRAND;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.3610;0.0000;Tonne;1372.000000;495.29;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;5bd513b61505a86dc9ab22e42a58a46a
301467;V;1000001;INTERVAL;2021-2022;19/10/2021 02:00;October;2021;173;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;DESBOIS Quentin;10234;GAEC DE LA BELLE CROIX;42;SEMENCES BLES;SEM. BLE HIVER;20015966;BLE PIRENEO R1 VIG  600KG;0.150000;0.0000;1.2000;0.0000;Tonne;553.100000;663.72;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;5eadbbfc119071587bf075c959b2be4e
313214;V;1000001;INTERVAL;2021-2022;31/12/2021 01:00;December;2021;185;;BLF;1,111E+17;1;ROBITAILLE ERIC;TOURNET Anais;13738;GAEC THIEBAUD;43;MATIERE 1ERE ET PRODUIT SIMPLE;TOURTEAUX;20008169;HORMELIN               VRAC;0.000000;0.0000;0.2060;0.0000;Tonne;626.000000;128.96;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;42d55cccbdcdd7ac7f6912937811b39f
313227;V;1000001;INTERVAL;2021-2022;24/01/2022 01:00;January;2022;185;;BLF;1,111E+17;1;MANDRET BENOIT;MARTINEZ Thomas;2252;GAEC DE MON PLAISIR;43;MATIERE 1ERE ET PRODUIT SIMPLE;TOURTEAUX;20008169;HORMELIN               VRAC;0.000000;0.0000;0.2890;0.0000;Tonne;675.000000;195.08;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;f2f92bfa34143dcf5b7db8bddbc5bc09
313228;V;1000001;INTERVAL;2021-2022;28/01/2022 01:00;January;2022;185;;BLF;1,111E+17;1;ROBITAILLE ERIC;TOURNET Anais;11427;GAEC DU MIROTON;43;MATIERE 1ERE ET PRODUIT SIMPLE;TOURTEAUX;20008169;HORMELIN               VRAC;0.000000;0.0000;0.5390;0.0000;Tonne;672.000000;362.21;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;37b32357329fec909ce5e03f889de156
1443677;V;1000001;INTERVAL;2025-2026;24/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056954;1;ROBITAILLE ERIC;LEPAGE Julien;17313;GAEC BERTRAND;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.4580;0.0000;Tonne;1372.000000;628.38;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;62099dd6baf395c42ddeb9db9ae1de79
1443495;V;1000001;INTERVAL;2025-2026;17/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056867;1;ROBITAILLE ERIC;LEPAGE Julien;2172;GAEC DE VOINALOT;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.1540;0.0000;Tonne;1372.000000;211.29;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;cc7813266dea42e187ae0659f75f7d2f
1489162;V;1000001;INTERVAL;2025-2026;02/01/2026 01:00;January;2026;185;;BLF;BLF-INT0065519;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.1960;0.0000;Tonne;1372.000000;268.91;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;e9363900950f4a9449b9f8521c871f2e
1443915;V;1000001;INTERVAL;2025-2026;01/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057039;1;ROBITAILLE ERIC;LEPAGE Julien;2172;GAEC DE VOINALOT;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.1500;0.0000;Tonne;1372.000000;205.80;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;3198f8c5e0cc30d949708eb2083fe209
1444066;V;1000001;INTERVAL;2025-2026;03/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057092;1;ROBITAILLE ERIC;LEPAGE Julien;17138;GAEC BRIE;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.2030;0.0000;Tonne;1372.000000;278.52;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;9624c3ce37ab6127ec16b2d2aa89bc09
1443481;V;1000001;INTERVAL;2025-2026;17/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056868;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20012207;SANTALMASH REPRO GR VRAC              MR;0.000000;0.0000;0.2100;0.0000;Tonne;1372.000000;288.12;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;e39a6dda38fecbf674b28b6b2def8b00
1470703;V;1000001;INTERVAL;2025-2026;12/11/2025 01:00;November;2025;185;;BLF;BLF-INT0060352;1;ROBITAILLE ERIC;LEPAGE Julien;16741;GAEC DE CHARMEY;43;ALIMENT MINERAUX VITAMINES;INCORPO MR;20020897;SANTALMASH PRAIRIE   BIG-BAG          MR;0.000000;0.0000;0.0940;0.0000;Tonne;1163.000000;109.32;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;5007608ca4509c63abacc479e5112b5b
1443980;V;1000001;INTERVAL;2025-2026;02/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057066;1;ROBITAILLE ERIC;JABRY Jérôme;2219;GAEC DE LA CORVEE;43;ALIMENT MINERAUX VITAMINES;Aliment mineral matière première;28000003;RUMAZOTE 70 INC;0.000000;0.0000;0.0830;0.0000;Tonne;1140.000000;94.62;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;d7a8e388c4e177128943026b67ba3794
1489772;V;1000001;INTERVAL;2025-2026;05/01/2026 01:00;January;2026;134;;BCCNF;BCCNF-INT1007109;1;ROBITAILLE ERIC;LEPAGE Julien;2174;GAEC BRUNNER DES CARRONS;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.5000;0.0000;Tonne;320.000000;160.00;0;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;c9d329d1a9c3727e4c96fb2623d85ea3
1488726;V;1000001;INTERVAL;2025-2026;30/12/2025 01:00;December;2025;185;;BLF;BLF-INT0065430;1;ROBITAILLE ERIC;LEPAGE Julien;49437;SCEA DES ETOILES;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.0910;0.0000;Tonne;329.000000;29.94;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;23b70006e941a25f52eb22a9ef6f0b31
1443478;V;1000001;INTERVAL;2025-2026;17/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056868;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.0260;0.0000;Tonne;329.000000;8.55;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;53a7c2ed674c43bfef831f06af1cdaf4
1430685;V;1000001;INTERVAL;2025-2026;20/10/2025 02:00;October;2025;134;;BCCNF;BCCNF-INT1006124;1;ROBITAILLE ERIC;LEPAGE Julien;2174;GAEC BRUNNER DES CARRONS;43;SELS;BLOCS SIMPLES;20003878;BLOC SEL PUR  S.MIDI   25KG;4.000000;0.0000;45.0000;0.0000;UNITE;9.600000;432.00;0;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;f436266220da34497d8b148b8417a813
1520388;V;1000001;INTERVAL;2025-2026;21/01/2026 01:00;January;2026;185;;BLF;BLF-INT0068215;1;ROBITAILLE ERIC;LEPAGE Julien;45945;GAEC RECONNU DU MESELOT;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.1280;0.0000;Tonne;329.000000;42.11;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;88e91515d4be1ecd820ae1cdb20ded62
1444136;V;1000001;INTERVAL;2025-2026;06/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057113;1;ROBITAILLE ERIC;LEPAGE Julien;45945;GAEC RECONNU DU MESELOT;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.1730;0.0000;Tonne;329.000000;56.92;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;e5191541bfbcc2e92d532af87c1a174f
313233;V;1000001;INTERVAL;2021-2022;20/01/2022 01:00;January;2022;185;;BLF;1,111E+17;1;ROBITAILLE ERIC;TOURNET Anais;11051;GAEC DE LA TOUR;43;MATIERE 1ERE ET PRODUIT SIMPLE;TOURTEAUX;20008169;HORMELIN               VRAC;0.000000;0.0000;0.5810;0.0000;Tonne;669.000000;388.69;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;6631784860c47db6e3eb6af35a96416f
666697;V;1000001;INTERVAL;2022-2023;22/06/2023 02:00;June;2023;185;;BLF;1,111E+17;1;ROBITAILLE ERIC;BOEUF Julien;44294;Mr JACQUES RAGUIN;43;MATERIEL ELEVAGE/PRESTATIONS;A DELETE;20006438;PRESTATION de FABRICATION            MR;0.000000;0.0000;2.3330;0.0000;Tonne;5.300000;12.36;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;09d11e1682b1902877dce11d19cf5afd
1470663;V;1000001;INTERVAL;2025-2026;10/11/2025 01:00;November;2025;185;;BLF;BLF-INT0060339;1;ROBITAILLE ERIC;LEPAGE Julien;49437;SCEA DES ETOILES;43;SELS;BLOCS SIMPLES;20003846;SEL GEMME GROS         25KG;0.000000;0.0000;0.0820;0.0000;Tonne;329.000000;26.98;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;49c114ec11958811178f8c18a3b32b58
1453155;V;1000001;INTERVAL;2025-2026;30/10/2025 01:00;October;2025;159;;BLD;BLD-INT0002797;1;ROBITAILLE ERIC;LEPAGE Julien;20584;GAEC CUENOT Paul et Bernard;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT TERRE COMTOISE QB;20020242;ESTIVAL COMTOIS 2050  VRAC            TC;0.000000;0.0000;4.6820;0.0000;Tonne;362.000000;1694.88;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;82cd8050bec747c5c89d920f8ee4ec99
1453133;V;1000001;INTERVAL;2025-2026;28/10/2025 01:00;October;2025;144;;BLD;BLD-INT0002782;1;ROBITAILLE ERIC;LEPAGE Julien;16023;Mr JEAN PIERRE PETITE;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT TERRE COMTOISE QB;20020252;ESTI BEEF LACTANTE 18  VRAC           TC;0.000000;0.0000;3.9820;0.0000;Tonne;324.500000;1292.16;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;20d898542e0c2eb52e7de35bc3f5875a
1470874;V;1000001;INTERVAL;2025-2026;17/11/2025 01:00;November;2025;159;;BLD;BLD-INT0002944;1;ROBITAILLE ERIC;LEPAGE Julien;2172;GAEC DE VOINALOT;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT TERRE COMTOISE QB;20020242;ESTIVAL COMTOIS 2050  VRAC            TC;0.000000;0.0000;3.4800;0.0000;Tonne;352.000000;1224.96;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;8ebf4b2c90d8ef6e02158b90d13c832e
1452956;V;1000001;INTERVAL;2025-2026;09/10/2025 02:00;October;2025;159;;BLD;BLD-INT0002676;1;ROBITAILLE ERIC;LEPAGE Julien;16652;GAEC BERNARD;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT TERRE COMTOISE QB;20020178;ESTIVAL 46  VRAC                      TC;0.000000;0.0000;8.8400;0.0000;Tonne;465.000000;4110.60;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;2aec7d2aa8187509fae82e33971436e1
1461915;V;1000001;INTERVAL;2025-2026;06/11/2025 01:00;November;2025;185;;BLF;BLF-INT0060270;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20018088;EVOGREEN LACTIS  VRAC;0.000000;0.0000;2.3010;0.0000;Tonne;473.800000;1090.21;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;34268d4df637d9b0fb5cde51c334023c
1461916;V;1000001;INTERVAL;2025-2026;06/11/2025 01:00;November;2025;185;;BLF;BLF-INT0060270;1;ROBITAILLE ERIC;LEPAGE Julien;2348;GAEC DU CHENE;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20021842;ESTI APLATI ORGE-MAIS 5050  VRAC;0.000000;0.0000;2.5400;0.0000;Tonne;245.000000;622.30;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;c2f1fc1e565ba446db9b396241e1b9ea
1461945;V;1000001;INTERVAL;2025-2026;06/11/2025 01:00;November;2025;185;;BLF;BLF-INT0060279;1;ROBITAILLE ERIC;LEPAGE Julien;17138;GAEC BRIE;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20018088;EVOGREEN LACTIS  VRAC;0.000000;0.0000;5.9010;0.0000;Tonne;473.800000;2795.89;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;8cc52bafdde5a5e97eeac88355f50515
1444036;V;1000001;INTERVAL;2025-2026;03/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057090;1;ROBITAILLE ERIC;LEPAGE Julien;16642;GAEC DE GONDENANS;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20018088;EVOGREEN LACTIS  VRAC;0.000000;0.0000;3.0400;0.0000;Tonne;473.800000;1440.35;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;ce9144c06ffe76a519dc635747921af2
1443913;V;1000001;INTERVAL;2025-2026;01/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057043;1;ROBITAILLE ERIC;LEPAGE Julien;3924;GAEC LE COIN DU BOIS;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20018088;EVOGREEN LACTIS  VRAC;0.000000;0.0000;4.1660;0.0000;Tonne;473.800000;1973.85;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;76acad067b3579f316094081a36f1aef
1443983;V;1000001;INTERVAL;2025-2026;02/10/2025 02:00;October;2025;185;;BLF;BLF-INT0057064;1;ROBITAILLE ERIC;JABRY Jérôme;2038;GAEC DE LA CROS;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012672;ESTIMASH CEREALES 100 ORGE  VRAC      MR;0.000000;0.0000;4.0200;0.0000;Tonne;59.950000;241.00;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;6937e4a67df75f86938de29572ffd4cd
1443512;V;1000001;INTERVAL;2025-2026;17/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056878;1;ROBITAILLE ERIC;LEPAGE Julien;49596;GAEC DE LA VALLEE DE L'OGNON;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012692;ESTIMIX LACTIS  VRAC                  MR;0.000000;0.0000;3.0280;0.0000;Tonne;412.000000;1247.54;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;d2838d68f3d2970da2493e6cb2c24523
1520389;V;1000001;INTERVAL;2025-2026;21/01/2026 01:00;January;2026;185;;BLF;BLF-INT0068215;1;ROBITAILLE ERIC;LEPAGE Julien;45945;GAEC RECONNU DU MESELOT;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012692;ESTIMIX LACTIS  VRAC                  MR;0.000000;0.0000;5.1180;0.0000;Tonne;365.000000;1868.07;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;83eddd359404ab754b74d11fefc9bdca
1489153;V;1000001;INTERVAL;2025-2026;02/01/2026 01:00;January;2026;185;;BLF;BLF-INT0065515;1;ROBITAILLE ERIC;JABRY Jérôme;2038;GAEC DE LA CROS;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012672;ESTIMASH CEREALES 100 ORGE  VRAC      MR;0.000000;0.0000;3.3600;0.0000;Tonne;53.950000;181.27;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;8961c86551f221d735c840e44d9f0513
1443566;V;1000001;INTERVAL;2025-2026;19/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056901;1;ROBITAILLE ERIC;LEPAGE Julien;2174;GAEC BRUNNER DES CARRONS;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012672;ESTIMASH CEREALES 100 ORGE  VRAC      MR;0.000000;0.0000;6.0000;0.0000;Tonne;53.950000;323.70;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;2a7c0945625bad539537375bdf4a070d
1443690;V;1000001;INTERVAL;2025-2026;24/09/2025 02:00;September;2025;185;;BLF;BLF-INT0056952;1;ROBITAILLE ERIC;LEPAGE Julien;16652;GAEC BERNARD;43;ALIMENT FABRIQUE BON CUMULABLE_DELETE;ALIMENT MOULIN ROUGE QB;20012672;ESTIMASH CEREALES 100 ORGE  VRAC      MR;0.000000;0.0000;8.0600;0.0000;Tonne;56.950000;459.02;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;fcb89a12679b9a76fb967bc7ae08cd6e
320004;V;1000001;INTERVAL;2021-2022;30/08/2021 02:00;August;2021;149;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;LACAILLE Bruno;12993;SCEA M.P. REVAILLERE;40;TERNAIRES ENGRAIS DE MELANGES;TERNAIRES MELANGES ENGRAIS;20005320;13.18.15+4MGO/8SO3 EM  VRAC NFU42001-1;0.400000;0.0000;5.1200;0.0000;Tonne;593.000000;3036.16;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;6d8ffb0c76eeb3f853d173f3b4dc887a
320007;V;1000001;INTERVAL;2021-2022;24/08/2021 02:00;August;2021;149;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;LACAILLE Bruno;12993;SCEA M.P. REVAILLERE;40;TERNAIRES ENGRAIS DE MELANGES;TERNAIRES MELANGES ENGRAIS;20005320;13.18.15+4MGO/8SO3 EM  VRAC NFU42001-1;0.400000;0.0000;4.5800;0.0000;Tonne;593.000000;2715.94;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;3ab750dc5cdc7acef4f6294ac903a150
320015;V;1000001;INTERVAL;2021-2022;18/11/2021 01:00;November;2021;149;;BLF;1,111E+17;1;BILLARD CHRISTOPHE;LACAILLE Bruno;12577;EARL DES MERISIERS;40;TERNAIRES ENGRAIS DE MELANGES;TERNAIRES MELANGES ENGRAIS;20005320;13.18.15+4MGO/8SO3 EM  VRAC NFU42001-1;0.400000;0.0000;1.0600;0.0000;Tonne;593.000000;628.58;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;b17ce6f8e7b718ca0a1b8f21821448c0
320776;V;1000001;INTERVAL;2021-2022;24/02/2022 01:00;February;2022;134;;BLF;1,111E+17;1;MANDRET BENOIT;MARTINEZ Thomas;2763;Mr FABIEN HORREARD;40;TERNAIRES ENGRAIS DE MELANGES;TERNAIRES MELANGES ENGRAIS;20005599;13.18.15+4MGO/8SO3 EM 600KG NFU42001-1;0.400000;0.0000;6.6000;0.0000;Tonne;609.500000;4022.70;1;2026-06-07 08:58:33.60643+02;2026-06-15 09:13:17.001221+02;9f2763e2a42ca39c54389c04218f9058
